ds_dir,code,description
ScenarioMIP/CNRM-CERFACS/CNRM-CM6-1-HR/ssp126/r1i1p1f2/Omon/umo/gn,noUse,HDF errpr
CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/piControl/r1i1p1f2/Amon/rsut/gr,local,
CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/piControl/r1i1p1f2/Omon/bigthetao/gn,noUse,missing 1870-1875
CMIP/CCCma/CanESM5-CanOE/piControl/r1i1p2f1/Omon/vmo/gn,noUse,KeyError: 'missing_value': OverflowError: Python int too large to convert to C
CMIP/CNRM-CERFACS/CNRM-ESM2-1/historical/r1i1p1f2/AERmon/ch4/gr,noUse,cannot to_zarr: HDF error? - even ncview cannot handle
CMIP/CNRM-CERFACS/CNRM-ESM2-1/historical/r1i1p1f2/AERmon/o3loss/gr,noUse,cannot to_zarr: HDF error? - even ncview cannot handle
CMIP/CNRM-CERFACS/CNRM-ESM2-1/historical/r1i1p1f2/AERmon/o3prod/gr,noUse,cannot to_zarr: HDF error? - even ncview cannot handle
CMIP/CNRM-CERFACS/CNRM-ESM2-1/historical/r1i1p1f2/AERmon/so2/gr,noUse,cannot to_zarr: HDF error? - even ncview cannot handle
CMIP/CNRM-CERFACS/CNRM-ESM2-1/historical/r1i1p1f2/AERmon/ua/gr,noUse,cannot to_zarr: HDF error? - even ncview cannot handle
CMIP/CNRM-CERFACS/CNRM-ESM2-1/historical/r1i1p1f2/AERmon/va/gr,noUse,cannot to_zarr: HDF error? - even ncview cannot handle
CMIP/CNRM-CERFACS/CNRM-ESM2-1/historical/r1i1p1f2/AERmon/wa/gr,noUse,cannot to_zarr: HDF error? - even ncview cannot handle
CMIP/CNRM-CERFACS/CNRM-ESM2-1/historical/r3i1p1f2/AERmon/ch4/gr,noUse,cannot to_zarr: HDF error? - even ncview cannot handle
CMIP/CNRM-CERFACS/CNRM-ESM2-1/historical/r3i1p1f2/AERmon/co/gr,noUse,cannot to_zarr: HDF error? - even ncview cannot handle
CMIP/CNRM-CERFACS/CNRM-ESM2-1/historical/r3i1p1f2/AERmon/mmrso4/gr,noUse,cannot to_zarr: HDF error? - even ncview cannot handle
CMIP/CNRM-CERFACS/CNRM-ESM2-1/historical/r3i1p1f2/AERmon/mmrss/gr,noUse,cannot to_zarr: HDF error? - even ncview cannot handle
CMIP/CNRM-CERFACS/CNRM-ESM2-1/historical/r3i1p1f2/AERmon/mmrss/gr,noUse,unknown to_zarr HDF error
CMIP/CNRM-CERFACS/CNRM-ESM2-1/historical/r3i1p1f2/AERmon/no2/gr,noUse,cannot to_zarr: HDF error? - even ncview cannot handle
CMIP/CNRM-CERFACS/CNRM-ESM2-1/historical/r3i1p1f2/AERmon/no/gr,noUse,cannot to_zarr: HDF error? - even ncview cannot handle
CMIP/CNRM-CERFACS/CNRM-ESM2-1/historical/r3i1p1f2/AERmon/o3loss/gr,noUse,cannot to_zarr: HDF error? - even ncview cannot handle
CMIP/CNRM-CERFACS/CNRM-ESM2-1/historical/r3i1p1f2/AERmon/o3prod/gr,noUse,cannot to_zarr: HDF error? - even ncview cannot handle
CMIP/CNRM-CERFACS/CNRM-ESM2-1/historical/r3i1p1f2/AERmon/oh/gr,noUse,cannot to_zarr: HDF error? - even ncview cannot handle
CMIP/CNRM-CERFACS/CNRM-ESM2-1/historical/r3i1p1f2/AERmon/so2/gr,noUse,cannot to_zarr: HDF error? - even ncview cannot handle
CMIP/CNRM-CERFACS/CNRM-ESM2-1/historical/r3i1p1f2/AERmon/ua/gr,noUse,cannot to_zarr: HDF error? - even ncview cannot handle
CMIP/CNRM-CERFACS/CNRM-ESM2-1/historical/r3i1p1f2/AERmon/va/gr,noUse,cannot to_zarr: HDF error? - even ncview cannot handle
CMIP/CNRM-CERFACS/CNRM-ESM2-1/historical/r3i1p1f2/AERmon/wa/gr,noUse,cannot to_zarr: HDF error? - even ncview cannot handle
CMIP/CNRM-CERFACS/CNRM-ESM2-1/historical/r3i1p1f2/AERmon/zg/gr,noUse,cannot to_zarr: HDF error? - even ncview cannot handle
AerChemMIP/CNRM-CERFACS/CNRM-ESM2-1/piClim-2xDMS/r1i1p1f2/Amon/va/gr,noUse,unknown HDF error when creating zarr
AerChemMIP/CNRM-CERFACS/CNRM-ESM2-1/piClim-2xdust/r1i1p1f2/Amon/ta/gr,noUse,unknown HDF error when creating zarr
AerChemMIP/CNRM-CERFACS/CNRM-ESM2-1/piClim-HC/r1i1p1f2/Amon/o3/gr,noUse,unknown HDF error when creating zarr
AerChemMIP/CNRM-CERFACS/CNRM-ESM2-1/piClim-HC/r1i1p1f2/Amon/rlut/gr,noUse,unknown HDF error when creating zarr
AerChemMIP/CNRM-CERFACS/CNRM-ESM2-1/piClim-NTCF/r1i1p1f2/Amon/ua/gr,noUse,unknown HDF error when creating zarr
CMIP/CNRM-CERFACS/CNRM-ESM2-1/piControl/r1i1p1f2/Amon/all/all,360_day,trying again
CMIP/CNRM-CERFACS/CNRM-ESM2-1/piControl/r1i1p1f2/Amon/all/all,drop_tb,trying again
ScenarioMIP/CNRM-CERFACS/CNRM-ESM2-1/ssp126/r4i1p1f2/Amon/rlut/gr,remove_files2,old file is causing trouble
ScenarioMIP/CNRM-CERFACS/CNRM-ESM2-1/ssp126/r4i1p1f2/Amon/rsut/gr,remove_files2,old file is causing trouble
ScenarioMIP/CNRM-CERFACS/CNRM-ESM2-1/ssp126/r4i1p1f2/Amon/rsdt/gr,remove_files2,old file is causing trouble
CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/piControl/r1i1p1f2/Amon/all/gr,local,
CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/piControl/r1i1p1f2/Omon/wmo/gn,noUse,missing times
CMIP/E3SM-Project/E3SM-1-0/historical/r2i1p1f1/SImon/siconc/gr,noUse,(time_1950-2014) missing one file 1945-1950 
CMIP/E3SM-Project/E3SM-1-0/historical/r3i1p1f1/SImon/siconc/gr,noUse,(time_1950-2014) missing one file 1945-1950 
CMIP/E3SM-Project/E3SM-1-0/historical/r4i1p1f1/Omon/masscello/gr,noUse,Codec does not support buffers of > 2147483647 bytes
CMIP/E3SM-Project/E3SM-1-0/piControl/r1i1p1f1/Omon/fgco2/gn,noUse,extra file must be deleted: fgco2_Omon_CanESM5_piControl_r1i1p1f1_gn_591001-591012
CMIP/E3SM-Project/E3SM-1-0/piControl/r1i1p1f1/Omon/wfo/gr,noUse,unknown
CMIP/E3SM-Project/E3SM-1-0/piControl/r1i1p1f1/SImon/siconc/gr,noUse,extra file Resulting object does not have monotonic global indexes along dimension time
CMIP/E3SM-Project/E3SM-1-1/piControl/r1i1p1f1/Lmon/mrso/gr,noUse,missing decade 2000-2009
CMIP/E3SM-Project/E3SM-1-1/piControl/r1i1p1f1/Lmon/mrsos/gr,noUse,missing decade 2000-2009
CMIP/EC-Earth-Consortium/EC-Earth3/historical/all/Emon/orog/gr,noUse,??
CMIP/EC-Earth-Consortium/EC-Earth3/historical/r2i1p1f1/LImon/snc/gr,noUse,half of files are gr- the other are still gn
CMIP/EC-Earth-Consortium/EC-Earth3/historical/r2i1p1f1/LImon/snw/gr,noUse,half of files are gr- the other are still gn
CMIP/EC-Earth-Consortium/EC-Earth3/historical/r2i1p1f1/Lmon/all/gr,noUse,half of files are gr- the other are still gn
CMIP/EC-Earth-Consortium/EC-Earth3/historical/r2i1p1f1/Oday/all/gr,noUse,same KeyError: 'lat' as for day
CMIP/EC-Earth-Consortium/EC-Earth3/historical/r7i1p1f1/Oday/tos/gr,noUse,same KeyError: 'lon' as for day
CMIP/EC-Earth-Consortium/EC-Earth3/historical/r20i1p1f1/Oday/tos/gr,noUse,bad file: tos_Oday_EC-Earth3_historical_r20i1p1f1_gr_18520101-18521231.nc
CMIP/EC-Earth-Consortium/EC-Earth3/historical/r1i1p1f1/Omon/hfx/gn,noUse,?
CMIP/EC-Earth-Consortium/EC-Earth3/historical/r2i1p1f1/Omon/wo/gn,noUse,some of the files are on a different vertical grid
