variable_id,long_name,units,table_id
ci,Fraction of Time Convection Occurs in Cell,1,Amon
ci,Fraction of Time Convection Occurs,1,CFsubhr
ci,Fraction of Time Convection Occurs,1,CF3hr
cl,Cloud Area Fraction in Atmosphere Layer,%,CFday
cl,Cloud Area Fraction,%,CFsubhr
cl,Percentage Cloud Cover,%,Amon
clayfrac,Clay Fraction,1,Efx
clc,Convective Cloud Area Percentage,%,CFmon
clc,Convective Cloud Area Fraction,%,CF3hr
clcalipso,CALIPSO Percentage Cloud Cover,%,CFday
clcalipso,CALIPSO Percentage Cloud Cover,%,CFmon
clcalipso,CALIPSO Cloud Fraction,%,E3hrPt
clcalipso2,CALIPSO Cloud Cover Percentage Undetected by CloudSat (as Percentage of Area Covered),%,E3hrPt
clcalipsoice,CALIPSO Ice Cloud Percentage,%,Emon
clcalipsoliq,CALIPSO Liquid Cloud Percentage,%,Emon
cldicemxrat,Cloud Ice Mixing Ratio,1,Emon
cldicemxrat,Cloud Ice Mixing Ratio,1,6hrPlevPt
cldnci,Ice Crystal Number Concentration of Cloud Tops,m-3,Emon
cldncl,Cloud Droplet Number Concentration of Cloud Tops,m-3,Emon
cldnvi,Column Integrated Cloud Droplet Number,m-2,Emon
cldnvi,Column Integrated Cloud Droplet Number,m-2,Eday
cldwatmxrat,Cloud Water Mixing Ratio,1,6hrPlevPt
cldwatmxrat,Cloud Water Mixing Ratio,1,Emon
clhcalipso,CALIPSO High Level Cloud Area Percentage,%,CFmon
clhcalipso,CALIPSO High Level Cloud Area Percentage,%,CFday
clhcalipso,CALIPSO High Level Cloud Fraction,%,E3hrPt
cli,Mass Fraction of Cloud Ice,kg kg-1,CFday
cli,Mass Fraction of Cloud Ice,kg kg-1,CFsubhr
cli,Mass Fraction of Cloud Ice,kg kg-1,Amon
clic,Mass Fraction of Convective Cloud Ice,1,CFmon
clic,Mass Fraction of Convective Cloud Ice,1,CF3hr
climodis,MODIS Ice Cloud Area Percentage,%,Emon
clis,Mass Fraction of Stratiform Cloud Ice,1,CF3hr
clis,Mass Fraction of Stratiform Cloud Ice,1,CFmon
clisccp,ISCCP Percentage Cloud Area,%,E3hrPt
clisccp,ISCCP Cloud Area Percentage,%,CFday
clisccp,ISCCP Cloud Area Percentage,%,CFmon
clivi,Ice Water Path,kg m-2,CF3hr
clivi,Ice Water Path,kg m-2,CFday
clivi,Ice Water Path,kg m-2,E3hr
clivi,Ice Water Path,kg m-2,Amon
clivi,Ice Water Path,kg m-2,CFsubhr
clivic,Convective Ice Water Path,kg m-2,Eday
cllcalipso,CALIPSO Low Level Cloud Cover Percentage,%,CFday
cllcalipso,CALIPSO Low Level Cloud Cover Percentage,%,CFmon
cllcalipso,CALIPSO Percentage Low Level Cloud,%,E3hrPt
clmcalipso,CALIPSO Mid Level Cloud Cover Percentage,%,CFmon
clmcalipso,CALIPSO Mid Level Cloud Fraction,%,E3hrPt
clmcalipso,CALIPSO Mid Level Cloud Cover Percentage,%,CFday
clmisr,Percentage Cloud Cover as Calculated by the MISR Simulator (Including Error Flag),%,Emon
clmisr,Percentage Cloud Cover as Calculated by the MISR Simulator,%,E3hrPt
cls,Percentage Cover of Stratiform Cloud,%,CFmon
cls,Stratiform Cloud Area Fraction,%,CF3hr
clt,Total Cloud Fraction,%,CFsubhr
clt,Total Cloud Fraction,%,day
clt,Total Cloud Fraction,%,CF3hr
clt,Total Cloud Cover Percentage,%,Amon
clt,Total Cloud Cover Percentage,%,Eday
clt,Total Cloud Cover Percentage,%,3hr
cltc,Convective Cloud Fraction,%,CF3hr
cltc,Convective Cloud Cover Percentage,%,AERmon
cltcalipso,CALIPSO Total Cloud Cover Percentage,%,CFday
cltcalipso,CALIPSO Total Cloud Cover Percentage,%,CFmon
cltcalipso,CALIPSO Total Cloud Fraction,%,E3hrPt
cltisccp,ISCCP Total Cloud Cover Percentage,%,CFday
cltisccp,ISCCP Total Cloud Cover Percentage,%,CFmon
cltmodis,MODIS Total Cloud Cover Percentage,%,Emon
clw,Mass Fraction of Cloud Liquid Water,kg kg-1,CFday
clw,Mass Fraction of Cloud Liquid Water,kg kg-1,CFsubhr
clw,Mass Fraction of Cloud Liquid Water,kg kg-1,Amon
clwc,Mass Fraction of Convective Cloud Liquid Water,1,CFmon
clwc,Mass Fraction of Convective Cloud Liquid Water,1,CF3hr
clwmodis,MODIS Liquid Cloud Percentage,%,Emon
clws,Mass Fraction of Stratiform Cloud Liquid Water,1,CF3hr
clws,Mass Fraction of Stratiform Cloud Liquid Water,1,CFmon
clwvi,Condensed Water Path,kg m-2,CFsubhr
