variable_id,long_name,units,table_id
mrsll,Liquid Water Content of Soil Layer,kg m-2,Eday
mrso,Total Soil Moisture Content,kg m-2,day
mrso,Total Soil Moisture Content,kg m-2,Lmon
mrsoLut,Total Soil Moisture,kg m-2,Emon
mrsofc,Capacity of Soil to Store Water (Field Capacity),kg m-2,fx
mrsol,Total Water Content of Soil Layer,kg m-2,6hrPlevPt
mrsol,Total Water Content of Soil Layer,kg m-2,Eday
mrsol,Total Water Content of Soil Layer,kg m-2,Emon
mrsos,Moisture in Upper Portion of Soil Column,kg m-2,day
mrsos,Moisture in Upper Portion of Soil Column,kg m-2,6hrPlevPt
mrsos,Moisture in Upper Portion of Soil Column,kg m-2,Lmon
mrsos,Moisture in Upper Portion of Soil Column,kg m-2,3hr
mrsosLut,Moisture in Upper Portion of Soil Column of Land-Use Tile,kg m-2,Emon
mrsow,Total Soil Wetness,1,Eday
mrtws,Terrestrial Water Storage,kg m-2,Eday
mrtws,Terrestrial Water Storage,kg m-2,Emon
msftbarot,Ocean Barotropic Mass Streamfunction,kg s-1,Omon
msftmrho,Ocean Meridional Overturning Mass Streamfunction,kg s-1,Omon
msftmrhompa,Ocean Meridional Overturning Mass Streamfunction Due to Parameterized Mesoscale Advection,kg s-1,Omon
msftmz,Ocean Meridional Overturning Mass Streamfunction,kg s-1,Omon
msftmzmpa,Ocean Meridional Overturning Mass Streamfunction Due to Parameterized Mesoscale Advection,kg s-1,Omon
msftmzsmpa,Ocean Meridional Overturning Mass Streamfunction Due to Parameterized Submesoscale Advection,kg s-1,Omon
msftyrho,Ocean Y Overturning Mass Streamfunction,kg s-1,Omon
msftyrhompa,Ocean Y Overturning Mass Streamfunction Due to Parameterized Mesoscale Advection,kg s-1,Omon
msftyz,Ocean Y Overturning Mass Streamfunction,kg s-1,Omon
msftyzmpa,Ocean Y Overturning Mass Streamfunction Due to Parameterized Mesoscale Advection,kg s-1,Omon
msftyzsmpa,ocean Y overturning mass streamfunction due to parameterized submesoscale advection,kg s-1,Omon
n2o,Mole Fraction of N2O,mol mol-1,AERmonZ
n2o,Mole Fraction of N2O,mol mol-1,Amon
n2o,N2O volume mixing ratio,mol mol-1,AERmon
n2oglobal,Global Mean Mole Fraction of N2O,1e-09,Amon
nLand,Total Nitrogen in All Terrestrial Nitrogen Pools,kg m-2,Emon
nLeaf,Nitrogen Mass in Leaves,kg m-2,Emon
nLitter,Nitrogen Mass in Litter Pool,kg m-2,Emon
nLitterCwd,Nitrogen Mass in Coarse Woody Debris,kg m-2,Emon
nLitterSubSurf,Nitrogen Mass in Below-Ground Litter (non CWD),kg m-2,Emon
nLitterSurf,Nitrogen Mass in Above-Ground Litter (non CWD),kg m-2,Emon
nMineral,Mineral Nitrogen in the Soil,kg m-2,Emon
nMineralNH4,Mineral Ammonium in the Soil,kg m-2,Emon
nMineralNO3,Mineral Nitrate in the Soil,kg m-2,Emon
nOther,"Nitrogen Mass in Vegetation Components Other than Leaves, Stem and Root",kg m-2,Emon
nProduct,Nitrogen Mass in Products of Land-Use Change,kg m-2,Emon
nRoot,Nitrogen Mass in Roots,kg m-2,Emon
nSoil,Nitrogen Mass in Soil Pool,kg m-2,Emon
nStem,Nitrogen Mass in Stem,kg m-2,Emon
nVeg,Nitrogen Mass in Vegetation,kg m-2,Emon
nbp,Carbon Mass Flux out of Atmosphere due to Net Biospheric Production on Land,kg m-2 s-1,Lmon
necbLut,net rate of C accumulation (or loss) on land use tile,kg m-2 s-1,Emon
nep,Net Carbon Mass Flux out of Atmosphere due to Net Ecosystem Productivity on Land,kg m-2 s-1,Emon
netAtmosLandC13Flux,Net Mass Flux of 13C Between Atmosphere and Land (Positive into Land) as a Result of All Processes,kg m-2 s-1,Emon
netAtmosLandC14Flux,Net Mass Flux of 14C Between Atmosphere and Land (Positive into Land) as a Result of All Processes,kg m-2 s-1,Emon
netAtmosLandCO2Flux,Net Flux of CO2 Between Atmosphere and Land (Positive into Land) as a Result of All Processes,kg m-2 s-1,Emon
nh4,Dissolved Ammonium Concentration,mol m-3,Omon
nh4,Dissolved Ammonium Concentration,mol m-3,Oyr
nh4os,Surface Dissolved Ammonium Concentration,mol m-3,Omon
nh50,Artificial Tracer with 50 Day Lifetime,mol mol-1,AERmon
no,NO volume mixing ratio,mol mol-1,AERmon
no2,NO2 volume mixing ratio,mol mol-1,AERmon
no3,Dissolved Nitrate Concentration,mol m-3,Oyr
no3,Dissolved Nitrate Concentration,mol m-3,Omon
no3os,Surface Dissolved Nitrate Concentration,mol m-3,Omon
noy,Total Reactive Nitrogen Volume Mixing Ratio,mol mol-1,AERmonZ
npp,Carbon Mass Flux out of Atmosphere Due to Net Primary Production on Land,kg m-2 s-1,Lmon
nppGrass,Net Primary Production on Grass Tiles,kg m-2 s-1,Emon
nppLeaf,Carbon Mass Flux due to NPP Allocation to Leaf,kg m-2 s-1,Lmon
nppLut,net primary productivity on land use tile,kg m-2 s-1,Emon
nppOther,Net Primary Production Allocated to Other Pools (not Leaves Stem or Roots),kg m-2 s-1,Emon
nppRoot,Carbon Mass Flux Due to NPP Allocation to Roots,kg m-2 s-1,Lmon
nppShrub,Net Primary Production on Shrub Tiles,kg m-2 s-1,Emon
nppStem,Net Primary Production Allocated to Stem as Carbon Mass Flux [kgC m-2 s-1],kg m-2 s-1,Emon
nppTree,Net Primary Production on Tree Tiles,kg m-2 s-1,Emon
nppWood,Carbon Mass Flux Due to NPP Allocation to Wood,kg m-2 s-1,Lmon
nudgincsm,Nudging Increment of Water in Soil Mositure,kg m-2,Eday
nwdFracLut,Non-Woody Vegetation Percentage Cover,%,Emon
o2,Dissolved Oxygen Concentration,mol m-3,Oyr
o2,Dissolved Oxygen Concentration,mol m-3,Omon
o2min,Oxygen Minimum Concentration,mol m-3,Omon
o2os,Surface Dissolved Oxygen Concentration,mol m-3,Omon
o2sat,Dissolved Oxygen Concentration at Saturation,mol m-3,Oyr
o2sat,Dissolved Oxygen Concentration at Saturation,mol m-3,Omon
o2satos,Surface Dissolved Oxygen Concentration at Saturation,mol m-3,Omon
o3,Mole Fraction of O3,mol mol-1,Amon
o3,Mole Fraction of O3,mol mol-1,AERmon
o3,Ozone volume mixing ratio,mol mol-1,E3hrPt
o3,Mole Fraction of O3,mol mol-1,AERmonZ
o3loss,O3 Destruction Rate,mol m-3 s-1,AERmon
o3prod,O3 Production Rate,mol m-3 s-1,AERmon
o3ste,Ozone volume mixing ratio,mol mol-1,AERmon
obvfsq,Square of Brunt Vaisala Frequency in Sea Water,s-2,Omon
ocfriver,Flux of Organic Carbon into Ocean Surface by Runoff,mol m-2 s-1,Omon
ocontempdiff,tendency of sea water conservative temperature expressed as heat content due to parameterized dianeutral mixing,W m-2,Emon
ocontempdiff,tendency of sea water conservative temperature expressed as heat content due to parameterized dianeutral mixing,W m-2,Oyr
ocontempmint,Depth Integral of Product of Sea Water Density and Conservative Temperature,degC kg m-2,Emon
ocontemppadvect,tendency of sea water conservative temperature expressed as heat content due to parameterized eddy advection,W m-2,Oyr
ocontemppadvect,tendency of sea water conservative temperature expressed as heat content due to parameterized eddy advection,W m-2,Emon
ocontemppmdiff,tendency of sea water conservative temperature expressed as heat content due to parameterized mesoscale diffusion,W m-2,Oyr
ocontemppmdiff,tendency of sea water conservative temperature expressed as heat content due to parameterized mesoscale diffusion,W m-2,Emon
ocontemppsmadvect,Tendency of Sea Water Conservative Temperature Expressed as Heat Content Due to Parameterized Submesoscale Advection,W m-2,Emon
ocontemppsmadvect,Tendency of Sea Water Conservative Temperature Expressed as Heat Content Due to Parameterized Submesoscale Advection,W m-2,Oyr
ocontemprmadvect,tendency of sea water conservative temperature expressed as heat content due to residual mean (sum of Eulerian + parameterized) advection,W m-2,Emon
ocontemprmadvect,tendency of sea water conservative temperature expressed as heat content due to residual mean (sum of Eulerian + parameterized) advection,W m-2,Oyr
ocontemptend,tendency of sea water conservative temperature expressed as heat content,W m-2,Emon
ocontemptend,tendency of sea water conservative temperature expressed as heat content,W m-2,Oyr
od440aer,Ambient Aerosol Optical Thickness at 440nm,1,AERmon
od443dust,Optical thickness at 443 nm Dust,1,Emon
od550aer,Ambient Aerosol Optical Thickness at 550nm,1,AERmon
od550aer,ambient aerosol optical thickness at 550 nm,1,AERday
od550aerh2o,aerosol water aod@550nm,1,AERmon
od550aerso,Stratospheric Optical depth at 550 nm (all aerosols) 2D-field (here we limit the computation of OD to the stratosphere only),1,Emon
od550bb,bb aod@550nm,1,AERmon
od550bc,Black Carbon Optical Thickness at 550nm,1,AERmon
od550csaer,Ambient Aerosol Optical Thickness at 550nm,1,AERmon
od550dust,Dust Optical Thickness at 550nm,1,AERmon
od550lt1aer,ambient fine mode aerosol optical thickness at 550 nm,1,AERmon
od550no3,nitrate aod@550nm,1,AERmon
od550oa,Total Organic Aerosol Optical Depth at 550nm,1,AERmon
od550so4,Sulfate Aerosol Optical Depth at 550nm,1,AERmon
od550soa,Particulate Organic Aerosol Optical Depth at 550nm,1,AERmon
od550ss,Sea-Salt Aerosol Optical Depth at 550nm,1,AERmon
od865dust,Optical thickness at 865 nm Dust,1,Emon
od870aer,Ambient Aerosol Optical Depth at 870nm,1,AERmon
oh,OH Volume Mixing Ratio,mol mol-1,AERmon
oh,OH Volume Mixing Ratio,mol mol-1,AERmonZ
omldamax,Mean Daily Maximum Ocean Mixed Layer Thickness Defined by Mixing Scheme,m,Oday
opottempdiff,Tendency of Sea Water Potential Temperature Expressed as Heat Content Due to Parameterized Dianeutral Mixing,W m-2,Emon
opottempdiff,Tendency of Sea Water Potential Temperature Expressed as Heat Content Due to Parameterized Dianeutral Mixing,W m-2,Oyr
opottempmint,Integral with Respect to Depth of Product of Sea Water Density and Potential Temperature,degC kg m-2,Emon
opottempmint,Integral with Respect to Depth of Product of Sea Water Density and Potential Temperature,degC kg m-2,Oyr
opottemppadvect,Tendency of Sea Water Potential Temperature Expressed as Heat Content Due to Parameterized Eddy Advection,W m-2,Oyr
opottemppadvect,Tendency of Sea Water Potential Temperature Expressed as Heat Content Due to Parameterized Eddy Advection,W m-2,Emon
opottemppmdiff,Tendency of Sea Water Potential Temperature Expressed as Heat Content Due to Parameterized Mesoscale Diffusion,W m-2,Oyr
opottemppmdiff,Tendency of Sea Water Potential Temperature Expressed as Heat Content Due to Parameterized Mesoscale Diffusion,W m-2,Emon
opottemppsmadvect,Tendency of Sea water Potential Temperature Expressed as Heat Content Due to Parameterized Submesoscale Advection,W m-2,Emon
opottemppsmadvect,Tendency of Sea Water Potential Temperature Expressed as Heat Content Due to Parameterized Submesoscale Advection,W m-2,Oyr
opottemprmadvect,Tendency of Sea Water Potential Temperature Expressed as Heat Content Due to Residual Mean Advection,W m-2,Emon
opottemprmadvect,Tendency of Sea Water Potential Temperature Expressed as Heat Content Due to Residual Mean Advection,W m-2,Oyr
opottemptend,Tendency of Sea water Potential Temperature Expressed as Heat Content,W m-2,Emon
opottemptend,Tendency of Sea Water Potential Temperature Expressed as Heat Content,W m-2,Oyr
orog,Surface Altitude,m,IyrGre
orog,Surface Altitude,m,ImonGre
orog,Surface Altitude,m,Emon
orog,Surface Altitude,m,fx
orogIs,Ice Sheet Surface Altitude,m,LImon
osaltdiff,Tendency of Sea water Salinity Expressed as Salt Content Due to Parameterized Dianeutral Mixing,kg m-2 s-1,Emon
osaltdiff,Tendency of Sea Water Salinity Expressed as Salt Content Due to Parameterized Dianeutral Mixing,kg m-2 s-1,Oyr
osaltpadvect,Tendency of Sea water Salinity Expressed as Salt Content Due to Parameterized Eddy Advection,kg m-2 s-1,Emon
osaltpadvect,Tendency of Sea Water Salinity Expressed as Salt Content Due to Parameterized Eddy Advection,kg m-2 s-1,Oyr
osaltpmdiff,Tendency of Sea water Salinity Expressed as Salt Content Due to Parameterized Mesoscale Diffusion,kg m-2 s-1,Emon
osaltpmdiff,Tendency of Sea Water Salinity Expressed as Salt Content Due to Parameterized Mesoscale Diffusion,kg m-2 s-1,Oyr
osaltpsmadvect,Tendency of Sea Water Salinity Expressed as Salt Content Due to Parameterized Submesoscale Advection,kg m-2 s-1,Emon
osaltpsmadvect,Tendency of Sea Water Salinity Expressed as Salt Content Due to Parameterized Submesoscale Advection,kg m-2 s-1,Oyr
osaltrmadvect,Tendency of Sea Water Salinity Expressed as Salt Content Due to Residual Mean Advection,kg m-2 s-1,Oyr
osaltrmadvect,Tendency of Sea Water Salinity Expressed as Salt Content Due to Residual Mean Advection,kg m-2 s-1,Emon
osalttend,Tendency of Sea Water Salinity Expressed as Salt Content,kg m-2 s-1,Oyr
osalttend,Tendency of Sea water Salinity Expressed as Salt Content,kg m-2 s-1,Emon
oxloss,Total Odd Oxygen (Ox) Loss Rate,mol m-3 s-1,EmonZ
oxprod,Total Odd Oxygen (Ox) Production Rate,mol m-3 s-1,EmonZ
pabigthetao,Sea Water Added Conservative Temperature,degC,Emon
pan,PAN volume mixing ratio,mol mol-1,AERmon
parag,Aragonite Production,mol m-3 s-1,Oyr
parasolRefl,PARASOL Reflectance,1,Eday
parasolRefl,PARASOL Reflectance,1,E3hrPt
parasolRefl,PARASOL Reflectance,1,Emon
pastureFrac,Percentage of Land which is Anthropogenic Pasture,%,Lmon
pastureFracC3,C3 Pasture Area Percentage,%,Emon
pastureFracC4,C4 Pasture Area Percentage,%,Emon
pathetao,Sea Water Additional Potential Temperature,degC,Emon
pbfe,Biogenic Iron Production,mol m-3 s-1,Oyr
pbfe,Biogenic Iron Production,mol m-3 s-1,Omon
pbo,Sea Water Pressure at Sea floor,Pa,Omon
pbsi,Biogenic Silicon Production,mol m-3 s-1,Oyr
pbsi,Biogenic Silica Production,mol m-3 s-1,Omon
pcalc,Calcite Production,mol m-3 s-1,Oyr
pctisccp,ISCCP Mean Cloud Top Pressure,Pa,CFday
pctisccp,ISCCP Mean Cloud Top Pressure,Pa,CFmon
pflw,Liquid Water Content of Permafrost Layer,kg m-2,LImon
pfull,Pressure at Model Full-Levels,Pa,CF3hr
pfull,Air Pressure,Pa,AERmon
pfull,Pressure on Model Levels,Pa,CFday
pfull,Pressure on Model Levels,Pa,CFsubhr
pfull,Pressure at Model Full-Levels,Pa,6hrLev
pfull,Pressure at Model Full-Levels,Pa,Amon
ph,pH,1,Omon
ph,pH,1,Oyr
phabio,Abiotic pH,1,Omon
phabio,Abiotic pH,1,Oyr
phabioos,Surface Abiotic pH,1,Omon
phalf,Pressure on Model Half-Levels,Pa,AERmon
phalf,Pressure on Model Half-Levels,Pa,CFday
phalf,Pressure on Model Half-Levels,Pa,CF3hr
phalf,Pressure on Model Half-Levels,Pa,Amon
phalf,Pressure on Model Half-Levels,Pa,CFsubhr
phnat,Natural pH,1,Omon
phnat,Natural pH,1,Oyr
phnatos,Surface Natural pH,1,Omon
phos,Surface pH,1,Omon
photo1d,photolysis rate of O3 to O1d,s-1,AERmon
phyc,Phytoplankton Carbon Concentration,mol m-3,Omon
phyc,Phytoplankton Carbon Concentration,mol m-3,Oyr
phycalc,Mole Concentration of Calcareous Phytoplankton expressed as Carbon in sea water,mol m-3,Omon
phycalcos,Surface Mole Concentration of Calcareous Phytoplankton expressed as Carbon in sea water,mol m-3,Omon
phycos,Sea Surface Phytoplankton Carbon Concentration,mol m-3,Oday
phycos,Sea Surface Phytoplankton Carbon Concentration,mol m-3,Omon
phydiat,Mole Concentration of Diatoms Expressed as Carbon in Sea Water,mol m-3,Oyr
phydiat,Mole Concentration of Diatoms Expressed as Carbon in Sea Water,mol m-3,Omon
phydiatos,Surface Mole Concentration of Diatoms Expressed as Carbon in Sea Water,mol m-3,Omon
phydiaz,Mole Concentration of Diazotrophs Expressed as Carbon in Sea Water,mol m-3,Oyr
phydiaz,Mole Concentration of Diazotrophs Expressed as Carbon in Sea Water,mol m-3,Omon
phydiazos,Surface Mole Concentration of Diazotrophs Expressed as Carbon in Sea Water,mol m-3,Omon
phyfe,Mole Concentration of Total Phytoplankton Expressed as Iron in Sea Water,mol m-3,Omon
phyfe,Mole Concentration of Total Phytoplankton Expressed as Iron in Sea Water,mol m-3,Oyr
phyfeos,Surface Mole Concentration of Total Phytoplankton Expressed as Iron in Sea Water,mol m-3,Omon
phymisc,Mole Concentration of Miscellaneous Phytoplankton Expressed as Carbon in Sea Water,mol m-3,Omon
phymisc,Mole Concentration of Miscellaneous Phytoplankton Expressed as Carbon in Sea Water,mol m-3,Oyr
phymiscos,Surface Mole Concentration of Miscellaneous Phytoplankton Expressed as Carbon in Sea Water,mol m-3,Omon
phyn,Mole Concentration of Total Phytoplankton Expressed as Nitrogen in Sea Water,mol m-3,Oyr
phyn,Mole Concentration of Total Phytoplankton Expressed as Nitrogen in Sea Water,mol m-3,Omon
phynos,Surface Mole Concentration of Phytoplankton Nitrogen in Sea Water,mol m-3,Omon
phyp,Mole Concentration of Total Phytoplankton Expressed as Phosphorus in Sea Water,mol m-3,Omon
phyp,Mole Concentration of Total Phytoplankton Expressed as Phosphorus in Sea Water,mol m-3,Oyr
phypico,Mole Concentration of Picophytoplankton Expressed as Carbon in Sea Water,mol m-3,Omon
phypico,Mole Concentration of Picophytoplankton Expressed as Carbon in Sea Water,mol m-3,Oyr
phypicoos,Surface Mole Concentration of Picophytoplankton Expressed as Carbon in Sea Water,mol m-3,Omon
phypos,Surface Mole Concentration of Total Phytoplankton Expressed as Phosphorus in Sea Water,mol m-3,Omon
physi,Mole Concentration of Total Phytoplankton Expressed as Silicon in Sea Water,mol m-3,Oyr
physi,Mole Concentration of Total Phytoplankton Expressed as Silicon in Sea Water,mol m-3,Omon
physios,Surface Mole Concentration of Total Phytoplankton Expressed as Silicon in Sea Water,mol m-3,Omon
pnitrate,Primary Carbon Production by Phytoplankton due to Nitrate Uptake Alone,mol m-3 s-1,Omon
pnitrate,Primary Carbon Production by Phytoplankton Due to Nitrate Uptake Alone,mol m-3 s-1,Oyr
po4,Total Dissolved Inorganic Phosphorus Concentration,mol m-3,Omon
po4,Total Dissolved Inorganic Phosphorus Concentration,mol m-3,Oyr
po4os,Surface Total Dissolved Inorganic Phosphorus Concentration,mol m-3,Omon
pon,Mole Concentration of Particulate Organic Matter expressed as Nitrogen in sea water,mol m-3,Omon
pon,Mole Concentration of Particulate Organic Matter Expressed as Nitrogen in Sea Water,mol m-3,Oyr
ponos,Surface Mole Concentration of Particulate Organic Matter Expressed as Nitrogen in Sea Water,mol m-3,Omon
pop,Mole Concentration of Particulate Organic Matter Expressed as Phosphorus in Sea Water,mol m-3,Oyr
pop,Mole Concentration of Particulate Organic Matter Expressed as Phosphorus in Sea Water,mol m-3,Omon
popos,Surface Mole Concentration of Particulate Organic Matter Expressed as Phosphorus in Sea Water,mol m-3,Omon
pp,Primary Carbon Production by Phytoplankton,mol m-3 s-1,Omon
pp,Primary Carbon Production by Phytoplankton,mol m-3 s-1,Oyr
ppdiat,Net Primary Organic Carbon Production by Diatoms,mol m-3 s-1,Emon
ppdiat,Net Primary Organic Carbon Production by Diatoms,mol m-3 s-1,Oyr
ppdiaz,Net Primary Mole Productivity of Carbon by Diazotrophs,mol m-3 s-1,Emon
ppdiaz,Net Primary Mole Productivity of Carbon by Diazotrophs,mol m-3 s-1,Oyr
ppmisc,Net Primary Organic Carbon Production by Other Phytoplankton,mol m-3 s-1,Emon
ppmisc,Net Primary Organic Carbon Production by Other Phytoplankton,mol m-3 s-1,Oyr
ppos,Primary Carbon Production by Phytoplankton,mol m-3 s-1,Omon
pppico,Net Primary Mole Productivity of Carbon by Picophytoplankton,mol m-3 s-1,Oyr
pr,Precipitation,kg m-2 s-1,CF3hr
pr,Precipitation,kg m-2 s-1,6hrPlev
pr,Precipitation,kg m-2 s-1,Amon
pr,Precipitation,kg m-2 s-1,E1hr
pr,Precipitation,kg m-2 s-1,3hr
pr,Precipitation,kg m-2 s-1,CFsubhr
pr,Precipitation,kg m-2 s-1,Esubhr
pr,Precipitation Flux,kg m-2 s-1,Omon
pr,Precipitation,kg m-2 s-1,day
prbigthetao,Sea Water Redistributed Conservative Temperature,degC,Emon
prc,Convective Precipitation,kg m-2 s-1,Esubhr
prc,Convective Precipitation,kg m-2 s-1,3hr
prc,Convective Precipitation,kg m-2 s-1,day
prc,Convective Precipitation,kg m-2 s-1,E1hr
prc,Convective Precipitation,kg m-2 s-1,Amon
prc,Convective Precipitation,kg m-2 s-1,CF3hr
prc,Convective Precipitation,kg m-2 s-1,CFsubhr
prcprof,Convective Rainfall Flux,kg m-2 s-1,CF3hr
prcsh,Precipitation Flux from Shallow Convection,kg m-2 s-1,E3hr
prhmax,Maximum Hourly Precipitation Rate,kg m-2 s-1,Eday
prhmax,Maximum Hourly Precipitation Rate,kg m-2 s-1,6hrPlev
prhmax,Maximum Hourly Precipitation Rate,kg m-2 s-1,Emon
prlsns,Stratiform Snowfall Flux,kg m-2 s-1,CF3hr
prlsprof,Stratiform Rainfall Flux,kg m-2 s-1,CF3hr
prra,Rainfall Flux over Land,kg m-2 s-1,Eday
prra,Rainfall Flux where Ice Free Ocean over Sea,kg m-2 s-1,Omon
prra,Rainfall Flux,kg m-2 s-1,E3hr
prra,Rainfall Flux over Land Ice,kg m-2 s-1,ImonGre
prra,Rainfall Flux over Land Ice,kg m-2 s-1,ImonAnt
prraIs,Ice Sheet Rainfall Rate,kg m-2 s-1,LImon
prrc,Convective Rainfall rate,kg m-2 s-1,Eday
prrc,Convective Rainfall Rate,kg m-2 s-1,E3hr
prrsn,Fraction of rainfall on snow.,1,Eday
prsn,Snowfall Flux,kg m-2 s-1,CF3hr
prsn,Snowfall Flux where Ice Free Ocean over Sea,kg m-2 s-1,Omon
prsn,Snowfall Flux,kg m-2 s-1,day
prsn,Snowfall Flux,kg m-2 s-1,Amon
prsn,Snowfall Flux,kg m-2 s-1,CFsubhr
prsn,,kg m-2 s-1,ImonGre
prsn,Snowfall Flux,kg m-2 s-1,3hr
prsn,,kg m-2 s-1,ImonAnt
prsnIs,Ice Sheet Snowfall Flux,kg m-2 s-1,LImon
prsnc,Convective Snowfall Flux,kg m-2 s-1,CF3hr
prsnc,Convective Snowfall Flux,kg m-2 s-1,Eday
prsnc,Convective Snowfall Flux,kg m-2 s-1,E3hr
prsnsn,Fraction of snowfall on snow.,1,Eday
prthetao,Sea Water Redistributed Potential Temperature,degC,Emon
prveg,Precipitation onto Canopy,kg m-2 s-1,Lmon
prveg,Precipitation onto Canopy,kg m-2 s-1,Eday
prw,Water Vapor Path,kg m-2,Eday
prw,Water Vapor Path,kg m-2,Amon
prw,Water Vapor Path,kg m-2,E3hr
prw,Water Vapor Path,kg m-2,Esubhr
prw,Water Vapor Path,kg m-2,CF3hr
prw,Water Vapor Path,kg m-2,CFsubhr
ps,Surface Air Pressure,Pa,Amon
ps,Surface Air Pressure,Pa,CFday
ps,Surface Air Pressure,Pa,E3hrPt
ps,Surface Air Pressure,Pa,AERmon
ps,Surface pressure,Pa,AERhr
ps,Surface Air Pressure,Pa,3hr
ps,Surface Air Pressure,Pa,6hrLev
ps,Surface Air Pressure,Pa,CFsubhr
ps,Surface Air Pressure,Pa,Emon
ps,Surface Air Pressure,Pa,CF3hr
ps,Surface Air Pressure,Pa,CFmon
psitem,Transformed Eulerian Mean Mass Streamfunction,kg s-1,EdayZ
psl,Sea Level Pressure,Pa,E3hr
psl,Sea Level Pressure,Pa,CF3hr
psl,Sea Level Pressure,Pa,CFsubhr
psl,Sea Level Pressure,Pa,Amon
psl,Sea Level Pressure,Pa,6hrPlev
psl,Sea Level Pressure,Pa,6hrPlevPt
psl,Sea Level Pressure,Pa,day
pso,Sea Water Pressure at Sea Water Surface,Pa,Omon
ptp,Tropopause Air Pressure,Pa,AERmon
qgwr,Groundwater Recharge from Soil Layer,kg m-2 s-1,Eday
rGrowth,Carbon Mass Flux into Atmosphere due to Growth Autotrophic Respiration on Land,kg m-2 s-1,Lmon
rMaint,Carbon Mass Flux into Atmosphere due to Maintenance Autotrophic Respiration on Land,kg m-2 s-1,Lmon
ra,Carbon Mass Flux into Atmosphere due to Autotrophic (Plant) Respiration on Land,kg m-2 s-1,E3hr
ra,Carbon Mass Flux into Atmosphere Due to Autotrophic (Plant) Respiration on Land,kg m-2 s-1,Lmon
raGrass,Autotrophic Respiration on Grass Tiles,kg m-2 s-1,Emon
raLeaf,Total Respiration from Leaves,kg m-2 s-1,Emon
raLut,plant respiration on land use tile,kg m-2 s-1,Emon
raRoot,Total Respiration from Roots,kg m-2 s-1,Emon
raShrub,Autotrophic Respiration on Shrub Tiles,kg m-2 s-1,Emon
raTree,Autotrophic Respiration on Tree Tiles,kg m-2 s-1,Emon
rac13,Mass Flux of 13C into Atmosphere Due to Autotrophic (Plant) Respiration on Land,kg m-2 s-1,Emon
rac14,Mass Flux of 14C into Atmosphere Due to Autotrophic (Plant) Respiration on Land,kg m-2 s-1,Emon
rainmxrat,Mass Fraction of Rain in Air,1,Emon
reffcclwtop,Cloud-Top Effective Droplet Radius in Convective Cloud,m,Eday
reffclic,Hydrometeor Effective Radius of Convective Cloud Ice,m,Emon
reffclic,Hydrometeor Effective Radius of Convective Cloud Ice,m,CF3hr
reffclis,Hydrometeor Effective Radius of Stratiform Cloud Ice,m,Esubhr
reffclis,Hydrometeor Effective Radius of Stratiform Cloud Ice,m,Emon
reffclis,Hydrometeor Effective Radius of Stratiform Cloud Ice,m,CF3hr
reffclwc,Hydrometeor Effective Radius of Convective Cloud Liquid Water,m,Emon
reffclwc,Convective Cloud Liquid Droplet Effective Radius,m,CF3hr
reffclws,Stratiform Cloud Liquid Droplet Effective Radius,m,CF3hr
reffclws,Stratiform Cloud Liquid Droplet Effective Radius,m,Emon
reffclws,Hydrometeor Effective Radius of Stratiform Cloud Liquid Water,m,Esubhr
reffclwtop,Cloud-Top Effective Droplet Radius,m,AERmon
reffsclwtop,Cloud-Top Effective Droplet Radius in Stratiform Cloud,m,Eday
remoc,Remineralization of Organic Carbon,mol m-3 s-1,Oyr
residualFrac,Percentage of Grid Cell That Is Land but neither Vegetation Covered nor Bare Soil,%,Lmon
residualFrac,Percentage of Grid Cell That Is Land but neither Vegetation Covered nor Bare Soil,%,Eyr
rh,Carbon Mass Flux into Atmosphere Due to Heterotrophic Respiration on Land,kg m-2 s-1,Lmon
rh,Carbon Mass Flux into Atmosphere due to Heterotrophic Respiration on Land,kg m-2 s-1,E3hr
rhGrass,Heterotrophic Respiration on Grass Tiles,kg m-2 s-1,Emon
rhLitter,Carbon Mass Flux into Atmosphere Due to Heterotrophic Respiration from Litter on Land,kg m-2 s-1,Emon
rhLut,Soil Heterotrophic Respiration on Land-Use Tile,kg m-2 s-1,Emon
rhShrub,Heterotrophic Respiration on Shrub Tiles,kg m-2 s-1,Emon
rhSoil,Carbon Mass Flux into Atmosphere Due to Heterotrophic Respiration from Soil on Land,kg m-2 s-1,Emon
rhTree,Heterotrophic Respiration on Tree Tiles,kg m-2 s-1,Emon
rhc13,Mass Flux of 13C into Atmosphere Due to Heterotrophic Respiration on Land,kg m-2 s-1,Emon
rhc14,Mass Flux of 14C into Atmosphere Due to Heterotrophic Respiration on Land,kg m-2 s-1,Emon
rivi,River Inflow,m3 s-1,Eday
rivo,River Discharge,m3 s-1,Eday
rld,Downwelling Longwave Radiation,W m-2,CFmon
rld,,W m-2,Efx
rld,Downwelling Longwave Radiation,W m-2,CFsubhr
rld4co2,Downwelling Longwave Radiation 4XCO2 Atmosphere,W m-2,CFmon
rldcs,Downwelling Clear-Sky Longwave Radiation,W m-2,CFmon
rldcs,Downwelling Clear-Sky Longwave Radiation,W m-2,CFsubhr
rldcs4co2,Downwelling Clear-Sky Longwave Radiation 4XCO2 Atmosphere,W m-2,CFmon
rlds,Surface Downwelling Longwave Radiation,W m-2,CFsubhr
rlds,Surface Downwelling Longwave Radiation,W m-2,ImonGre
